Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2002","2002","ha","631","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2003","2003","ha","631","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2004","2004","ha","631","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2005","2005","ha","634","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2006","2006","ha","637","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2007","2007","ha","620","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2008","2008","ha","620","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2009","2009","ha","620","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2010","2010","ha","620","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2011","2011","ha","620","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2012","2012","ha","620","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2013","2013","ha","615","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2014","2014","ha","635","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2015","2015","ha","635","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2016","2016","ha","695","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2017","2017","ha","695","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2018","2018","ha","710","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2019","2019","ha","710","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2020","2020","ha","710","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1961","1961","hg/ha","96667","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1962","1962","hg/ha","103333","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1963","1963","hg/ha","116667","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1964","1964","hg/ha","120000","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1965","1965","hg/ha","140000","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1966","1966","hg/ha","170000","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1967","1967","hg/ha","160000","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1968","1968","hg/ha","133333","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1969","1969","hg/ha","146667","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1970","1970","hg/ha","142857","I","Imputed value"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1971","1971","hg/ha","130000","I","Imputed value"
